gestion,mes,dia,estacion,longitud,latitud,altura,Precipitación,Temperatura Máxima,Temperatura Mínima
2015,3,4,Potosi Aeropuerto,-65.720833,-19.536667,4100,1.50,17.00,3.00
2015,3,5,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.00,3.40
2015,3,6,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,2.50
2015,3,7,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,2.00
2015,3,8,Potosi Aeropuerto,-65.720833,-19.536667,4100,18.30,,
2015,3,9,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.40,3.00
2015,3,10,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.40,2.20
2015,3,11,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,14.70,1.90
2015,3,12,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.80,3.20
2015,3,13,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.50,1.60
2015,3,14,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,2.00
2015,3,15,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,3,16,Potosi Aeropuerto,-65.720833,-19.536667,4100,1.10,13.90,2.80
2015,3,17,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.00,3.20
2015,3,18,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,14.60,2.20
2015,3,19,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.80,3.10
2015,3,20,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.40,3.00
2015,3,21,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,2.60
2015,3,22,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,3,23,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,14.40,1.20
2015,3,24,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,1.80
2015,3,25,Potosi Aeropuerto,-65.720833,-19.536667,4100,3.20,15.40,1.00
2015,3,26,Potosi Aeropuerto,-65.720833,-19.536667,4100,4.20,14.00,3.00
2015,3,27,Potosi Aeropuerto,-65.720833,-19.536667,4100,,15.80,1.00
2015,3,28,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,2.80
2015,3,29,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,3,30,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.20,0.90
2015,3,31,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.10,1.00
2015,4,1,Potosi Aeropuerto,-65.720833,-19.536667,4100,1.30,13.60,2.10
2015,4,2,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.00,0.70
2015,4,3,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,19.60,4.00
2015,4,4,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-0.50
2015,4,5,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,4,6,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.20,0.50
2015,4,7,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.40,-0.60
2015,4,8,Potosi Aeropuerto,-65.720833,-19.536667,4100,4.40,15.50,0.20
2015,4,9,Potosi Aeropuerto,-65.720833,-19.536667,4100,2.00,15.80,1.00
2015,4,10,Potosi Aeropuerto,-65.720833,-19.536667,4100,1.60,12.50,1.50
2015,4,11,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,1.00
2015,4,12,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,4,13,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.00,2.50
2015,4,14,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.40,0.50
2015,4,15,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,18.10,-0.20
2015,4,16,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.40,-0.10
2015,4,17,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.50,0.50
2015,4,18,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,1.60
2015,4,19,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,4,20,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.00,0.30
2015,4,21,Potosi Aeropuerto,-65.720833,-19.536667,4100,8.20,16.40,1.60
2015,4,22,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.20,1.70
2015,4,23,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.80,2.40
2015,4,24,Potosi Aeropuerto,-65.720833,-19.536667,4100,6.10,16.50,1.40
2015,4,25,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,2.10
2015,4,26,Potosi Aeropuerto,-65.720833,-19.536667,4100,6.30,,
2015,4,27,Potosi Aeropuerto,-65.720833,-19.536667,4100,3.20,16.40,1.60
2015,4,28,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.40,-0.50
2015,4,29,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.00,1.00
2015,4,30,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.60,0.30
2015,5,1,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.90,0.50
2015,5,2,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,0.40
2015,5,3,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,5,4,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.60,0.50
2015,5,5,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.80,-4.50
2015,5,6,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.40,-2.00
2015,5,7,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.80,1.40
2015,5,8,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,0.40
2015,5,9,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-1.00
2015,5,10,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,5,11,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.80,-4.50
2015,5,12,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.00,-2.20
2015,5,13,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,-2.60
2015,5,14,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.90,-3.00
2015,5,15,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,-5.00
2015,5,16,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-2.10
2015,5,17,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,5,18,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,-3.20
2015,5,19,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,14.50,-4.50
2015,5,20,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.50,-6.00
2015,5,21,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.20,-2.80
2015,5,22,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,-3.20
2015,5,23,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-4.10
2015,5,24,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,5,25,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.50,-4.50
2015,5,26,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,-0.20
2015,5,27,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,13.00,-4.00
2015,5,28,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.20,-6.00
2015,5,29,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.30,-6.20
2015,5,30,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-6.00
2015,5,31,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,6,1,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.60,-6.40
2015,6,2,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.80,-5.40
2015,6,3,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.50,-4.50
2015,6,4,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.50,-6.00
2015,6,5,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,18.50,-5.40
2015,6,6,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-5.50
2015,6,7,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,6,8,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,19.40,-6.00
2015,6,9,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,20.20,-4.80
2015,6,10,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,20.10,-1.50
2015,6,11,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,19.00,-3.20
2015,6,12,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.50,-4.00
2015,6,13,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-2.00
